corrida,precision 0 train,recall 0 train,fscore 0 train,precision 1 train,recall 1 train,fscore 1 train,precision macro train,recall macro train,fscore macro train,precision weighted train,recall weighted train,fscore weighted train,precision 0 test,recall 0 test,fscore 0 test,precision 1 test,recall 1 test,fscore 1 test,precision macro test,recall macro test,fscore macro test,precision weighted test,recall weighted test,fscore weighted test
10,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
11,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
12,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
13,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
14,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
15,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
16,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
17,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
18,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
19,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
20,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
21,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
22,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
23,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
24,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
25,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
26,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
27,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
28,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
29,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
30,0.9199437078875536,0.833615221987315,0.8736159315089124,0.9887177665738548,0.9949501896232948,0.9918196639781879,0.9543307372307043,0.9142827058053049,0.9327177977435502,0.984328375760874,0.9846350502128256,0.9842658166497479,0.9262295081967213,0.8129496402877698,0.8659003831417624,0.9906474820143885,0.996742671009772,0.9936857297492333,0.9584384951055549,0.9048461556487709,0.9297930564454979,0.9875619898156786,0.9879393521709167,0.9875650670412944
