corrida,precision 0 train,recall 0 train,fscore 0 train,precision 1 train,recall 1 train,fscore 1 train,precision macro train,recall macro train,fscore macro train,precision weighted train,recall weighted train,fscore weighted train,precision 0 test,recall 0 test,fscore 0 test,precision 1 test,recall 1 test,fscore 1 test,precision macro test,recall macro test,fscore macro test,precision weighted test,recall weighted test,fscore weighted test
13,0.8837946349397962,0.5586152219873151,0.6821782659024084,0.9706063055440831,0.9947904675048964,0.982542818960398,0.9272004702419396,0.7767028447461056,0.8323605424314031,0.9650296851797207,0.9669086991862812,0.9633347106831541,0.9487179487179487,0.5323741007194245,0.6820276497695853,0.9769830028328612,0.9985522982265653,0.9876499015571863,0.962850475775405,0.7654631994729949,0.8348387756633858,0.9756291632319056,0.976223294279807,0.9730112065198063
14,0.8837946349397962,0.5586152219873151,0.6821782659024084,0.9706063055440831,0.9947904675048964,0.982542818960398,0.9272004702419396,0.7767028447461056,0.8323605424314031,0.9650296851797207,0.9669086991862812,0.9633347106831541,0.9487179487179487,0.5323741007194245,0.6820276497695853,0.9769830028328612,0.9985522982265653,0.9876499015571863,0.962850475775405,0.7654631994729949,0.8348387756633858,0.9756291632319056,0.976223294279807,0.9730112065198063
15,0.8837946349397962,0.5586152219873151,0.6821782659024084,0.9706063055440831,0.9947904675048964,0.982542818960398,0.9272004702419396,0.7767028447461056,0.8323605424314031,0.9650296851797207,0.9669086991862812,0.9633347106831541,0.9487179487179487,0.5323741007194245,0.6820276497695853,0.9769830028328612,0.9985522982265653,0.9876499015571863,0.962850475775405,0.7654631994729949,0.8348387756633858,0.9756291632319056,0.976223294279807,0.9730112065198063
16,0.8837946349397962,0.5586152219873151,0.6821782659024084,0.9706063055440831,0.9947904675048964,0.982542818960398,0.9272004702419396,0.7767028447461056,0.8323605424314031,0.9650296851797207,0.9669086991862812,0.9633347106831541,0.9487179487179487,0.5323741007194245,0.6820276497695853,0.9769830028328612,0.9985522982265653,0.9876499015571863,0.962850475775405,0.7654631994729949,0.8348387756633858,0.9756291632319056,0.976223294279807,0.9730112065198063
17,0.8837946349397962,0.5586152219873151,0.6821782659024084,0.9706063055440831,0.9947904675048964,0.982542818960398,0.9272004702419396,0.7767028447461056,0.8323605424314031,0.9650296851797207,0.9669086991862812,0.9633347106831541,0.9487179487179487,0.5323741007194245,0.6820276497695853,0.9769830028328612,0.9985522982265653,0.9876499015571863,0.962850475775405,0.7654631994729949,0.8348387756633858,0.9756291632319056,0.976223294279807,0.9730112065198063
18,0.8837946349397962,0.5586152219873151,0.6821782659024084,0.9706063055440831,0.9947904675048964,0.982542818960398,0.9272004702419396,0.7767028447461056,0.8323605424314031,0.9650296851797207,0.9669086991862812,0.9633347106831541,0.9487179487179487,0.5323741007194245,0.6820276497695853,0.9769830028328612,0.9985522982265653,0.9876499015571863,0.962850475775405,0.7654631994729949,0.8348387756633858,0.9756291632319056,0.976223294279807,0.9730112065198063
19,0.8837946349397962,0.5586152219873151,0.6821782659024084,0.9706063055440831,0.9947904675048964,0.982542818960398,0.9272004702419396,0.7767028447461056,0.8323605424314031,0.9650296851797207,0.9669086991862812,0.9633347106831541,0.9487179487179487,0.5323741007194245,0.6820276497695853,0.9769830028328612,0.9985522982265653,0.9876499015571863,0.962850475775405,0.7654631994729949,0.8348387756633858,0.9756291632319056,0.976223294279807,0.9730112065198063
20,0.8837946349397962,0.5586152219873151,0.6821782659024084,0.9706063055440831,0.9947904675048964,0.982542818960398,0.9272004702419396,0.7767028447461056,0.8323605424314031,0.9650296851797207,0.9669086991862812,0.9633347106831541,0.9487179487179487,0.5323741007194245,0.6820276497695853,0.9769830028328612,0.9985522982265653,0.9876499015571863,0.962850475775405,0.7654631994729949,0.8348387756633858,0.9756291632319056,0.976223294279807,0.9730112065198063
21,0.8837946349397962,0.5586152219873151,0.6821782659024084,0.9706063055440831,0.9947904675048964,0.982542818960398,0.9272004702419396,0.7767028447461056,0.8323605424314031,0.9650296851797207,0.9669086991862812,0.9633347106831541,0.9487179487179487,0.5323741007194245,0.6820276497695853,0.9769830028328612,0.9985522982265653,0.9876499015571863,0.962850475775405,0.7654631994729949,0.8348387756633858,0.9756291632319056,0.976223294279807,0.9730112065198063
22,0.8837946349397962,0.5586152219873151,0.6821782659024084,0.9706063055440831,0.9947904675048964,0.982542818960398,0.9272004702419396,0.7767028447461056,0.8323605424314031,0.9650296851797207,0.9669086991862812,0.9633347106831541,0.9487179487179487,0.5323741007194245,0.6820276497695853,0.9769830028328612,0.9985522982265653,0.9876499015571863,0.962850475775405,0.7654631994729949,0.8348387756633858,0.9756291632319056,0.976223294279807,0.9730112065198063
23,0.8837946349397962,0.5586152219873151,0.6821782659024084,0.9706063055440831,0.9947904675048964,0.982542818960398,0.9272004702419396,0.7767028447461056,0.8323605424314031,0.9650296851797207,0.9669086991862812,0.9633347106831541,0.9487179487179487,0.5323741007194245,0.6820276497695853,0.9769830028328612,0.9985522982265653,0.9876499015571863,0.962850475775405,0.7654631994729949,0.8348387756633858,0.9756291632319056,0.976223294279807,0.9730112065198063
24,0.8837946349397962,0.5586152219873151,0.6821782659024084,0.9706063055440831,0.9947904675048964,0.982542818960398,0.9272004702419396,0.7767028447461056,0.8323605424314031,0.9650296851797207,0.9669086991862812,0.9633347106831541,0.9487179487179487,0.5323741007194245,0.6820276497695853,0.9769830028328612,0.9985522982265653,0.9876499015571863,0.962850475775405,0.7654631994729949,0.8348387756633858,0.9756291632319056,0.976223294279807,0.9730112065198063
25,0.8837946349397962,0.5586152219873151,0.6821782659024084,0.9706063055440831,0.9947904675048964,0.982542818960398,0.9272004702419396,0.7767028447461056,0.8323605424314031,0.9650296851797207,0.9669086991862812,0.9633347106831541,0.9487179487179487,0.5323741007194245,0.6820276497695853,0.9769830028328612,0.9985522982265653,0.9876499015571863,0.962850475775405,0.7654631994729949,0.8348387756633858,0.9756291632319056,0.976223294279807,0.9730112065198063
26,0.8837946349397962,0.5586152219873151,0.6821782659024084,0.9706063055440831,0.9947904675048964,0.982542818960398,0.9272004702419396,0.7767028447461056,0.8323605424314031,0.9650296851797207,0.9669086991862812,0.9633347106831541,0.9487179487179487,0.5323741007194245,0.6820276497695853,0.9769830028328612,0.9985522982265653,0.9876499015571863,0.962850475775405,0.7654631994729949,0.8348387756633858,0.9756291632319056,0.976223294279807,0.9730112065198063
27,0.8837946349397962,0.5586152219873151,0.6821782659024084,0.9706063055440831,0.9947904675048964,0.982542818960398,0.9272004702419396,0.7767028447461056,0.8323605424314031,0.9650296851797207,0.9669086991862812,0.9633347106831541,0.9487179487179487,0.5323741007194245,0.6820276497695853,0.9769830028328612,0.9985522982265653,0.9876499015571863,0.962850475775405,0.7654631994729949,0.8348387756633858,0.9756291632319056,0.976223294279807,0.9730112065198063
28,0.8837946349397962,0.5586152219873151,0.6821782659024084,0.9706063055440831,0.9947904675048964,0.982542818960398,0.9272004702419396,0.7767028447461056,0.8323605424314031,0.9650296851797207,0.9669086991862812,0.9633347106831541,0.9487179487179487,0.5323741007194245,0.6820276497695853,0.9769830028328612,0.9985522982265653,0.9876499015571863,0.962850475775405,0.7654631994729949,0.8348387756633858,0.9756291632319056,0.976223294279807,0.9730112065198063
29,0.8837946349397962,0.5586152219873151,0.6821782659024084,0.9706063055440831,0.9947904675048964,0.982542818960398,0.9272004702419396,0.7767028447461056,0.8323605424314031,0.9650296851797207,0.9669086991862812,0.9633347106831541,0.9487179487179487,0.5323741007194245,0.6820276497695853,0.9769830028328612,0.9985522982265653,0.9876499015571863,0.962850475775405,0.7654631994729949,0.8348387756633858,0.9756291632319056,0.976223294279807,0.9730112065198063
30,0.8837946349397962,0.5586152219873151,0.6821782659024084,0.9706063055440831,0.9947904675048964,0.982542818960398,0.9272004702419396,0.7767028447461056,0.8323605424314031,0.9650296851797207,0.9669086991862812,0.9633347106831541,0.9487179487179487,0.5323741007194245,0.6820276497695853,0.9769830028328612,0.9985522982265653,0.9876499015571863,0.962850475775405,0.7654631994729949,0.8348387756633858,0.9756291632319056,0.976223294279807,0.9730112065198063
