corrida,precision 0 train,recall 0 train,fscore 0 train,precision 1 train,recall 1 train,fscore 1 train,precision macro train,recall macro train,fscore macro train,precision weighted train,recall weighted train,fscore weighted train,precision 0 test,recall 0 test,fscore 0 test,precision 1 test,recall 1 test,fscore 1 test,precision macro test,recall macro test,fscore macro test,precision weighted test,recall weighted test,fscore weighted test
10,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
11,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
12,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
13,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
14,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
15,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
16,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
17,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
18,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
19,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
20,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
21,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
22,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
23,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
24,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
25,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
26,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
27,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
28,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
29,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
30,0.4028919605323126,0.2543868921775898,0.3097728803934215,0.9503056659230191,0.9744337464679236,0.9622063882469274,0.6765988132276659,0.6144103193227566,0.6359896343201743,0.9152798726102522,0.928350143777368,0.9204517965949893,0.3953488372093023,0.2446043165467626,0.3022222222222222,0.9627130681818182,0.9811798769453492,0.9718587560494713,0.6790309526955602,0.6128920967460559,0.6370404891358468,0.9355374554646647,0.9458993797381117,0.9397845044292138
